time;EDA.raw;ECG.raw
9.991.934;245;560
1.001.949;245;560
1.003.652;245;560
1.005.941;245;560
1.008.219;245;560
1.010.464;245;560
1.012.714;259;422
1.014.948;259;422
1.017.883;259;422
1.019.631;259;422
1.021.404;259;422
1.023.618;259;422
1.025.834;259;422
1.028.073;259;422
1.030.301;259;422
1.032.514;259;422
1.034.731;259;422
1.036.954;259;422
1.039.185;260;576
1.041.401;267;563
1.043.632;267;563
1.045.843;267;563
1.048.679;267;563
1.050.301;267;563
1.052.515;267;563
1.054.728;267;563
105.695;267;563
1.059.172;267;563
106.139;267;563
1.063.609;267;563
106.583;267;563
1.068.033;267;563
1.070.268;269;558
107.251;269;558
1.074.722;269;558
1.076.938;269;558
1.079.589;269;558
1.081.369;269;558
1.083.602;269;558
1.085.834;269;558
1.088.044;269;558
1.090.296;269;558
1.092.532;269;558
1.094.772;269;558
1.097.008;269;558
1.099.245;269;558
1.101.467;271;487
1.103.717;271;487
1.105.907;271;487
1.108.136;271;487
1.110.893;271;487
1.112.666;271;487
1.114.785;271;487
1.117.015;271;487
1.119.243;271;487
1.121.474;271;487
112.372;271;487
112.596;271;487
1.128.206;271;487
1.130.412;271;487
113.266;271;487
1.134.857;271;487
113.711;271;487
1.139.332;271;487
1.141.535;271;487
114.374;269;523
1.145.976;268;480
114.819;268;480
1.150.417;268;480
115.265;268;480
1.154.849;268;480
115.762;268;480
1.159.285;268;480
116.152;268;480
1.163.734;268;480
1.165.961;268;480
11.682;268;480
1.170.413;268;480
1.172.636;268;480
1.174.847;267;478
1.177.073;267;515
11.793;267;515
1.181.514;267;515
1.183.742;267;515
1.187.135;267;515
1.190.032;267;515
1.191.758;267;515
1.193.379;267;515
1.194.948;267;515
1.196.879;267;515
1.199.119;267;515
120.245;267;515
1.205.787;267;515
120.914;266;438
1.212.442;266;438
1.215.771;266;438
12.191;266;438
1.222.449;266;438
1.225.758;266;438
1.229.105;266;438
1.232.435;266;438
1.235.767;268;519
1.239.089;268;519
1.242.411;268;519
1.245.749;268;519
1.249.092;268;519
1.252.431;268;519
1.255.751;268;519
1.259.088;268;519
1.262.427;268;519
1.265.754;270;592
1.269.084;270;592
1.272.412;270;592
1.275.739;270;592
1.277.948;270;592
1.280.183;270;592
1.282.407;270;592
1.284.616;270;592
1.286.844;270;592
1.289.073;270;592
1.291.289;270;592
1.293.508;270;592
1.295.719;278;504
1.297.955;278;504
1.300.178;278;504
1.303.092;278;504
1.304.775;278;504
1.306.832;278;504
1.309.071;278;504
1.311.292;278;504
1.313.508;278;504
131.573;278;504
1.317.936;278;504
1.320.162;278;504
1.322.392;278;504
132.462;288;491
1.326.827;288;491
1.329.087;288;491
1.331.311;288;491
1.334.111;288;491
1.335.757;288;491
1.337.984;288;491
1.340.209;288;491
1.342.406;288;491
1.344.627;288;491
1.346.858;288;491
1.349.082;288;491
13.513;288;491
1.353.525;288;491
1.355.738;294;483
1.357.981;294;483
1.360.194;294;483
1.362.423;294;483
13.652;294;483
1.366.833;294;483
1.369.078;294;483
1.371.287;294;483
1.373.532;294;483
1.375.755;294;483
1.378.011;294;483
1.380.248;294;483
1.382.487;294;483
1.384.729;294;483
1.386.953;294;483
1.389.156;294;483
1.391.398;294;483
1.393.625;294;483
1.395.813;294;483
1.398.048;294;483
1.400.317;296;499
1.402.496;296;499
1.404.722;296;499
1.406.942;296;499
1.409.164;296;499
1.411.898;296;499
14.136;296;499
1.415.828;296;499
1.418.053;296;499
1.420.253;296;499
1.422.479;296;499
1.424.707;296;499
1.426.924;296;499
1.429.137;296;499
1.431.371;295;520
1.433.575;295;520
1.435.809;295;520
1.438.059;295;520
1.440.311;295;520
1.443.247;295;520
1.444.825;295;520
144.678;295;520
1.448.997;295;520
145.121;295;520
1.453.438;295;520
1.455.673;295;520
1.457.867;295;520
1.460.123;294;531
1.462.342;294;531
1.464.541;294;531
1.466.756;294;531
1.468.988;294;531
1.471.206;294;531
1.474.088;294;531
1.475.641;294;531
1.477.854;294;531
1.480.094;294;531
1.482.319;294;531
1.484.526;294;531
148.676;294;531
1.488.963;294;531
1.491.193;292;543
1.493.404;292;543
1.495.634;292;543
1.497.856;292;543
1.500.077;292;543
1.502.313;292;543
1.504.981;292;543
150.674;292;543
150.898;292;543
1.511.186;292;543
1.513.406;292;543
1.515.652;292;543
1.517.918;292;543
1.520.118;287;497
1.522.344;287;497
1.524.578;287;497
1.526.787;287;497
1.528.997;287;497
1.531.216;287;497
1.533.452;287;497
1.536.429;287;497
1.538.959;287;497
1.540.552;287;497
154.236;287;497
154.453;287;497
1.546.729;287;497
1.548.959;282;564
1.551.183;282;564
1.553.384;282;564
1.555.603;282;564
1.557.825;282;564
1.560.051;282;564
1.562.275;282;564
1.564.492;282;564
1.567.453;282;564
1.569.074;282;564
157.118;282;564
1.573.378;282;564
1.575.598;282;564
1.577.859;282;564
1.580.059;280;486
1.582.274;280;486
1.584.492;280;486
1.586.697;280;486
1.588.937;280;486
1.591.156;280;486
1.593.363;280;486
15.956;280;486
1.598.484;280;486
1.600.069;280;486
1.602.243;280;486
1.604.485;280;486
1.606.678;280;486
1.608.912;280;486
1.611.188;280;486
1.613.362;280;486
1.615.582;280;486
1.617.793;280;486
1.620.032;280;486
1.622.245;280;486
1.624.469;280;486
1.626.696;281;486
1.628.907;281;486
1.631.154;281;486
1.633.346;281;486
1.635.575;281;486
163.779;281;486
1.640.036;281;486
1.642.279;281;486
1.644.972;281;486
1.646.719;281;486
1.648.939;281;486
1.651.174;281;486
1.653.385;281;486
1.655.606;283;521
1.657.841;283;521
1.660.644;283;521
1.662.265;283;521
1.664.495;283;521
1.666.732;283;521
1.668.935;283;521
1.671.185;283;521
1.673.428;283;521
167.567;283;521
1.677.907;283;521
1.680.134;283;521
1.682.367;283;521
1.684.568;284;503
1.686.792;284;503
1.689.021;284;503
1.691.767;284;503
1.693.439;284;503
1.695.667;284;503
1.697.899;284;503
1.700.149;284;503
1.702.344;284;503
1.704.566;284;503
1.706.778;284;503
1.709.006;284;503
1.711.222;284;503
1.713.459;284;503
1.715.671;284;486
1.717.909;284;486
1.720.129;284;486
1.722.762;284;486
1.724.569;284;486
1.726.782;284;486
1.729.006;284;486
1.731.232;284;486
1.733.464;284;486
1.735.694;284;486
1.737.942;284;486
1.740.165;284;486
1.742.372;284;486
1.744.593;283;492
1.746.831;283;492
1.749.051;283;492
1.751.265;283;492
1.754.054;283;492
1.755.737;283;492
1.757.906;283;492
1.760.132;283;492
1.762.337;283;492
1.764.573;283;492
1.766.783;283;492
1.769.012;283;492
1.771.217;283;492
1.773.438;283;492
177.568;282;479
1.777.879;282;479
1.780.115;282;479
1.782.343;282;479
1.784.964;282;479
1.786.764;282;479
1.788.989;282;479
1.791.275;282;479
1.793.445;282;479
1.795.643;282;479
179.789;282;479
180.011;282;479
1.802.314;282;479
1.804.537;280;503
180.677;280;503
1.808.995;280;503
1.811.219;280;503
1.813.448;280;503
1.816.187;280;503
1.817.853;280;503
1.820.106;280;503
1.822.308;280;503
1.824.538;280;503
1.826.765;280;503
1.829.003;280;503
1.831.214;280;503
1.833.433;280;503
1.835.667;279;514
1.837.874;279;514
1.840.102;279;514
1.842.332;279;514
1.844.543;279;514
1.847.331;279;514
1.850.739;279;514
1.852.447;279;514
1.854.103;279;514
1.855.758;279;514
1.857.678;279;514
1.859.928;279;514
1.862.142;279;514
1.864.362;279;514
1.866.588;279;514
1.868.798;279;514
1.871.032;279;514
1.873.247;279;514
187.547;279;514
1.877.687;279;514
1.879.893;277;524
1.882.132;277;524
1.884.363;277;524
1.886.565;277;524
1.888.781;277;524
1.891.009;277;524
1.893.796;277;524
1.895.583;277;524
1.897.686;277;524
1.899.901;277;524
190.212;277;524
1.904.349;277;524
1.906.557;277;524
1.908.782;277;524
1.911.015;275;505
1.913.214;275;505
1.915.454;275;505
191.766;275;505
1.919.909;275;505
1.922.108;275;505
1.924.922;275;505
1.926.559;275;505
1.928.769;275;505
1.930.991;275;505
1.933.208;275;505
1.935.438;275;505
1.937.662;275;505
1.939.885;275;524
1.942.092;275;524
1.944.333;275;524
1.946.551;275;524
1.948.766;275;524
1.950.986;275;524
1.953.211;275;524
1.955.787;275;524
1.957.655;275;524
1.959.875;275;524
1.962.088;275;524
1.964.383;275;524
1.966.652;275;524
1.968.904;275;524
1.971.103;274;518
1.973.319;274;518
1.975.542;274;518
1.977.766;274;518
1.980.011;274;518
1.982.198;274;518
1.984.467;274;518
1.987.284;274;518
1.988.889;274;518
1.991.058;274;518
1.993.265;274;518
1.995.506;274;518
1.997.729;274;518
1.999.943;274;497
2.002.169;274;497
2.004.382;274;497
2.006.615;274;497
2.008.846;274;497
2.011.052;274;497
2.013.276;274;497
2.015.494;274;497
2.018.325;274;497
2.019.954;274;497
2.022.142;274;497
2.024.374;274;497
2.026.583;274;497
2.028.827;273;505
2.031.061;273;505
2.033.831;273;505
2.035.463;273;505
2.037.694;273;505
2.039.947;273;505
2.042.133;273;505
204.437;273;505
2.046.593;273;505
2.048.812;273;505
205.104;273;505
2.053.254;273;505
205.547;273;505
2.057.685;273;505
2.059.942;275;622
2.062.173;275;622
2.064.765;275;622
2.066.594;275;622
206.882;275;622
2.071.065;275;622
2.073.284;275;622
2.075.489;275;622
2.077.722;275;622
2.079.936;275;622
208.215;275;622
2.084.382;275;622
2.086.595;275;622
2.088.817;275;622
2.091.066;275;622
2.093.282;275;622
2.095.518;275;622
2.097.738;275;622
209.997;275;622
2.102.177;275;622
2.104.398;275;622
2.106.657;278;495
2.108.878;278;495
2.111.456;278;495
2.113.351;278;495
2.115.602;278;495
211.784;278;495
2.120.086;278;495
2.122.316;278;495
2.124.556;278;495
2.126.775;278;495
2.129.004;278;495
2.131.223;278;495
2.133.455;278;495
2.135.652;280;515
2.137.904;280;515
2.140.115;280;515
2.142.799;280;515
214.446;280;515
2.146.634;280;515
2.148.855;280;515
2.151.085;280;515
2.153.285;280;515
2.155.501;280;515
2.157.737;280;515
215.995;280;515
2.162.195;280;515
2.164.408;280;515
2.166.617;281;511
2.168.858;281;507
2.171.064;281;507
2.173.993;281;507
2.175.569;281;507
2.177.556;281;507
2.179.794;281;507
2.181.992;281;507
2.184.228;281;507
2.186.452;281;507
2.188.655;281;507
219.087;281;507
219.311;281;507
2.195.328;280;521
219.756;280;521
2.199.773;280;521
2.202.019;280;521
2.204.724;280;521
2.206.418;280;521
2.208.663;280;521
221.088;280;521
2.213.092;280;521
2.215.317;280;521
2.217.556;280;521
2.219.761;280;521
2.221.969;280;521
2.224.197;278;528
